,net,con,param_F,param_G,it,MeanAA,StdAA,MeanSp,StdSp,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
0,0,0,1,1,0,1683.5140186915899,5668.31047759067,353.276,105.459868310178,70.6552,21.0919736620355,9.5504,4.76474761556161,7.227992779199849,1.42242548772562,1.19811320754717
1,0,0,1,1,1,1791.89719626168,6276.94243225494,351.76,107.620102211436,70.352,21.524020442287302,9.5072,4.84760024754517,7.88785276234091,1.556158398741,1.2264150943396226
2,0,0,1,1,2,1645.32710280374,5989.46129101401,318.324,93.1232034672347,63.6648,18.624640693447002,8.1,3.9812862243250002,7.50232321522943,1.5653936131431898,1.1320754716981132
3,0,0,1,1,3,1647.8691588785,5969.546931076079,326.3,99.62273836830629,65.26,19.9245476736613,8.3296,4.43237225873459,7.26346460471643,1.5024455765440101,1.169811320754717
4,0,0,1,1,4,1597.0,5682.52084544162,338.76800000000003,102.883361997944,67.7536,20.5766723995888,9.0648,4.60936014648454,7.33801782548304,1.46010120081162,1.1132075471698113
5,0,0,1,1,5,1573.43925233645,5908.155649683679,316.372,96.09154809867519,63.2744,19.218309619735,8.16,4.09507020696837,7.24416875192806,1.4192296949708403,1.169811320754717
6,0,0,1,1,6,1557.38317757009,5752.32210997553,346.75199999999995,106.656844581114,69.3504,21.3313689162229,9.7088,4.967929403685201,7.94878421945363,1.4695397107946202,1.2358490566037736
7,0,0,1,1,7,1665.91588785047,5683.92522348739,340.624,103.48635960357299,68.1248,20.697271920714602,9.6368,4.7722788853963705,7.98937080362558,1.49895348870529,1.2264150943396226
8,0,0,1,1,8,1578.24299065421,5940.9091815624,336.284,104.022359827106,67.2568,20.8044719654213,8.9936,4.647713313017491,7.807790965016331,1.5292731489270202,1.2264150943396226
9,0,0,1,1,9,1374.31775700935,5382.552287964821,324.096,98.43360596869341,64.8192,19.6867211937387,8.652000000000001,4.25762562938547,8.563845030653079,1.88394001616571,1.0660377358490567
0,0,1,1,1,0,1310.31775700935,5554.049186523311,292.80400000000003,86.52300031783459,58.5608,17.304600063566898,7.0,3.49591761916668,7.9032425817784,1.6112537684488502,0.7547169811320755
