,net,con,in,ex,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
0,0,0,10,70,0,15872.093457943898,10584.7821308528,1256.736,429.639488762381,251.3472,85.9278977524762,49.9688,15.0778933064271,29.2632577033931,5.957527474327019,11.29245283018868
1,0,0,10,70,1,16614.0093457944,10721.0056766863,1278.06,434.499445799416,255.612,86.89988915988329,51.1144,15.3744265792256,29.0494693527046,5.666100194303139,12.094339622641508
2,0,0,10,70,2,14941.8037383178,10139.7906201901,1112.308,372.079923048799,222.4616,74.4159846097597,46.9056,15.0645241756917,23.8641774344029,4.59824686627144,10.622641509433961
3,0,0,10,70,3,14844.7196261682,10041.0132059352,1021.5239999999999,350.741297003931,204.3048,70.1482594007863,41.9,13.749138154808099,25.7056256629912,4.89368036200384,9.981132075471699
4,0,0,10,70,4,14850.158878504699,9528.406387385501,1162.448,393.352624620708,232.4896,78.6705249241417,52.6744,21.2140798678613,9.30975035213529,1.70768116045875,11.084905660377359
5,0,0,10,70,5,15935.5327102804,10421.3475363424,1283.12,433.375543380104,256.624,86.6751086760207,58.7792,23.655072338929802,9.48340109182252,1.6384324672260002,11.660377358490566
6,0,0,10,70,6,15371.4859813084,9795.93947192682,1289.54,426.85855315314905,257.908,85.3717106306299,59.68,23.570333896659196,8.91276736349127,1.5448410042993301,11.783018867924529
7,0,0,10,70,7,13797.158878504699,9136.42799600366,1013.836,320.510082686957,202.7672,64.10201653739139,40.7968,12.2708104769001,27.945527804391304,5.08135256830692,10.075471698113207
8,0,0,10,70,8,14320.8504672897,9726.28340310178,1101.34,359.382415262628,220.268,71.8764830525256,45.7032,14.4752060351485,25.084178515805,4.2616342698564305,10.358490566037736
9,0,0,10,70,9,14855.327102803702,9511.4332496789,1163.172,387.86999679789596,232.6344,77.57399935957929,46.5736,14.009292024938299,28.4011797407652,5.52798543930789,11.10377358490566
0,0,1,10,70,0,13891.7476635514,9883.6934667058,1296.1960000000001,413.652943400624,259.2392,82.7305886801248,52.0992,14.4370218313889,28.664395574422997,5.32673478982372,10.528301886792454
1,0,1,10,70,1,15147.5327102804,10078.077257205401,1232.776,409.763948907173,246.5552,81.9527897814345,50.5248,15.635654925841802,25.7823005163903,4.93952815301419,11.037735849056604
2,0,1,10,70,2,14937.3831775701,10630.1849164466,1278.076,419.129180830922,255.6152,83.8258361661845,53.1104,16.1255167929589,25.3394265522056,4.893907922369451,10.556603773584905
3,0,1,10,70,3,14819.1962616822,9810.13934703327,1291.588,410.930361808421,258.3176,82.1860723616842,51.6312,14.6213154866448,27.9969802957824,5.37328529273221,11.056603773584905
4,0,1,10,70,4,14739.710280373798,9741.34903725327,1301.792,427.138587271157,260.3584,85.4277174542314,51.7768,14.581904599879902,29.0096834442703,5.62495148225613,10.839622641509433
5,0,1,10,70,5,14977.373831775702,10298.462023388,1397.2279999999998,455.00615382212095,279.4456,91.0012307644243,64.4984,24.495591387839603,9.70893578286399,1.73546094726549,11.358490566037734
6,0,1,10,70,6,14277.439252336499,9932.65156377849,1206.992,395.70357584434305,241.3984,79.14071516886871,48.244,14.238746574049301,27.975079455207702,5.571000399813111,10.245283018867925
7,0,1,10,70,7,14835.6822429907,9942.225732493349,1339.9879999999998,434.6262714747,267.9976,86.92525429494009,53.2152,14.655988842790501,29.5284150006034,5.95828291588245,10.867924528301888
8,0,1,10,70,8,14824.775700934599,10067.5120522229,1358.5639999999999,434.84752029188303,271.7128,86.9695040583767,55.0528,15.3396457638369,28.041135705416497,5.34083211968412,11.405660377358492
9,0,1,10,70,9,15496.560747663601,9827.8697011678,1370.932,446.094312198665,274.1864,89.21886243973302,54.4976,15.297050507859302,29.3758516220935,5.71267985421562,11.415094339622641
0,0,2,10,70,0,15343.242990654198,9429.09930272143,1101.08,357.91938980725797,220.21599999999998,71.58387796145159,44.0144,13.5794592175094,27.067711656378197,5.21602958927085,11.358490566037734
1,0,2,10,70,1,14830.3831775701,9671.16773979781,982.28,330.394614968222,196.456,66.07892299364451,43.8824,18.0969503021918,9.015229506653881,1.56182999836787,10.632075471698114
