,net,con,reductionType,variation,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
0,0,0,0,0,0,1597.5700934579402,6186.095916948349,320.368,95.40863994418949,64.0736,19.081727988837898,8.0488,4.17635469758018,7.61638799998593,1.5367521542494198,1.0660377358490567
1,0,0,0,0,1,1551.19626168224,5816.6200151577505,322.344,94.7116976091127,64.4688,18.9423395218225,8.3936,4.13104817691588,7.58452073841277,1.4690744412404702,1.1037735849056605
2,0,0,0,0,2,1571.1495327102803,5665.0537587731205,374.852,115.253833324536,74.9704,23.050766664907304,10.6576,5.29112863574493,7.42371178346815,1.34522300427345,1.2547169811320755
3,0,0,0,0,3,1586.28037383178,6082.61056503509,327.852,99.12887619659571,65.5704,19.8257752393191,8.7408,4.3647697946168895,8.67035659723167,1.8077582717163403,1.0094339622641508
4,0,0,0,0,4,1387.6261682242998,5495.32669004703,300.70799999999997,90.75910277211871,60.1416,18.1518205544237,7.5336,3.8834509189637,7.21526767065852,1.5168207397477,1.1226415094339623
5,0,0,0,0,5,1673.22429906542,6130.240653763471,363.30800000000005,112.97718856477199,72.6616,22.595437712954396,9.9816,5.19647394297325,7.81208260228616,1.47944544430996,1.150943396226415
6,0,0,0,0,6,1496.57943925234,5705.19604459311,340.176,103.818307749645,68.0352,20.763661549928997,8.816,4.48824954742938,8.19253539910001,1.75314860133407,1.0943396226415094
7,0,0,0,0,7,1599.4018691588801,6097.899747001629,340.616,105.861742589096,68.1232,21.1723485178192,9.2688,4.746980783613941,7.84776416294108,1.5604947690555098,1.1226415094339623
8,0,0,0,0,8,1416.02803738318,5215.9763549754,398.24800000000005,117.291306139884,79.6496,23.4582612279768,11.7168,5.658476628917009,8.885142626442079,1.73927111335374,1.2735849056603774
9,0,0,0,0,9,1692.7289719626199,6247.17175121355,347.5,102.130475373416,69.5,20.426095074683303,9.288,4.623792382882259,7.82521558479887,1.66099734768037,1.1886792452830188
0,0,1,0,0,0,1648.7383177570098,6035.73199509133,410.42400000000004,124.585505673814,82.0848,24.917101134762802,12.4768,6.0201147630257,9.109915302210961,1.7634541691834,1.179245283018868
1,0,1,0,0,1,1290.4299065420598,4871.55948300837,354.48,106.119185824242,70.896,21.223837164848398,9.856,4.77272919826801,8.73714293999141,1.71546986705051,1.0
2,0,1,0,0,2,1271.98130841122,5357.33610916531,310.872,90.59381665433908,62.1744,18.1187633308678,8.1008,3.97307932968875,7.68977504965299,1.61673966087982,0.8490566037735849
3,0,1,0,0,3,1345.47663551402,5215.3195480020095,349.832,99.5156860801351,69.9664,19.903137216027,9.5728,4.5550038594934295,7.948766292588,1.52230935187482,1.0094339622641508
4,0,1,0,0,4,1512.0560747663599,5706.347183949771,369.19199999999995,106.709976740697,73.8384,21.3419953481393,10.2808,4.88016714467855,8.62386073608917,1.5963331321935401,1.0471698113207548
5,0,1,0,0,5,1494.4299065420598,5533.56606405615,395.01599999999996,115.73383145822099,79.0032,23.1467662916443,11.9384,5.633716840594669,8.70239741452284,1.67394888651973,1.0471698113207548
6,0,1,0,0,6,1437.21495327103,5383.72586481146,399.56800000000004,117.50127393352,79.9136,23.500254786703895,11.7072,5.58392229172291,9.141528176992711,1.74508554494219,1.0471698113207548
7,0,1,0,0,7,1443.64485981308,5278.33516172315,413.55199999999996,125.341099787739,82.7104,25.068219957547804,12.532,6.08573545267949,9.14268944607001,1.5891231743653402,1.1037735849056605
8,0,1,0,0,8,1495.19626168224,5192.92142299559,377.68,109.800189435174,75.536,21.960037887034698,10.8544,5.2800833932808295,8.62624651570325,1.67966855501378,1.0849056603773586
9,0,1,0,0,9,1341.38317757009,5288.64381083164,388.676,116.271626048662,77.7352,23.2543252097325,11.2168,5.561255052593791,8.927785532470109,1.57424651939202,0.9339622641509434
0,0,2,0,0,0,2438.65420560748,7454.68111116842,285.392,86.77141427912771,57.0784,17.3542828558255,7.4616,3.80982485686678,7.90825448332474,1.66722774795206,1.8867924528301887
1,0,2,0,0,1,2227.89719626168,7229.000570695351,301.492,94.9559578752171,60.2984,18.9911915750434,7.5472,4.07137472605998,6.861650727862151,1.4067863274841899,1.849056603773585
2,0,2,0,0,2,2589.65420560748,8012.63095287486,254.31599999999997,78.3571831040397,50.8632,15.671436620807901,5.747999999999999,2.9943974352112996,6.83850931450928,1.62592503291924,1.69811320754717
3,0,2,0,0,3,2625.1308411215,7290.3146786487705,307.164,94.9843834743375,61.4328,18.9968766948675,8.0032,4.15245346271334,8.15258293240367,1.7849670926435801,2.056603773584906
